,dim,density,baseRate,mineCtRate
0,10,0.1,0.019410732984542847,0.019616600275039673
1,10,0.15,0.144970383644104,0.14540461897850038
2,10,0.2,0.7865197324752807,0.645801329612732
3,10,0.25,1.8147663497924804,1.8256910562515258
4,10,0.3,5.2675862121582036,5.209728751182556
5,20,0.1,0.09145158648490906,0.09977703809738159
6,20,0.15,0.3924660313129425,0.3824075734615326
7,20,0.2,1.7590898275375366,1.685559582710266
8,20,0.25,8.488905320167541,8.998542947769165
9,20,0.3,29.317772331237794,30.439631872177124
10,30,0.1,0.15706605911254884,0.155588458776474
11,30,0.15,0.5299763834476471,0.5280351889133453
12,30,0.2,3.306766514778137,3.1632550668716433
13,30,0.25,16.052809686660765,16.488318777084352
14,30,0.3,61.80868772506714,65.18451681613922
