,RuleThree,RuleFour,diff
0,29329.1,12272.3,17056.8
1,36727.9,10802.8,25925.100000000002
2,32621.4,14107.1,18514.300000000003
3,33314.4,8385.6,24928.800000000003
4,46540.8,24289.0,22251.800000000003
5,49841.5,9705.1,40136.4
6,33185.1,6275.2,26909.899999999998
7,73028.2,12444.3,60583.899999999994
8,39707.6,6366.4,33341.2
9,41723.4,6893.0,34830.4
10,30311.6,11876.3,18435.3
11,26156.6,11679.4,14477.199999999999
12,33825.5,4315.3,29510.2
13,62614.2,5042.9,57571.299999999996
14,49114.8,9460.1,39654.700000000004
15,42106.8,14121.0,27985.800000000003
16,29039.9,9060.1,19979.800000000003
17,47265.5,5975.7,41289.8
18,48582.7,7064.3,41518.399999999994
19,40435.2,9834.5,30600.699999999997
